rainfall,soil_moisture,tilt_x,tilt_y,vibration,temperature,pressure,landslide
97.86,37.33,2.073,2.509,0.823,15.85,993.04,0
84.82,98.47,2.398,1.402,0.901,18.64,1005.65,1
87.48,34.67,1.48,0.965,0.683,26.69,1015.95,1
92.55,28.24,0.496,1.684,0.858,16.61,1000.07,1
8.89,49.79,1.244,0.782,0.892,18.23,997.1,0
43.02,15.12,2.359,1.203,0.092,34.07,998.55,0
13.9,98.06,1.239,0.998,0.965,34.89,1015.86,1
103.57,62.96,2.09,2.412,0.334,30.96,1005.83,1
74.8,60.13,1.522,2.773,0.44,25.3,993.92,1
39.71,69.02,0.724,2.279,0.792,33.01,1011.28,0
7.63,54.73,2.388,1.317,0.665,17.24,994.63,1
37.32,12.89,0.253,1.513,0.893,33.86,991.81,0
39.02,65.11,1.575,0.375,0.401,22.03,997.67,0
87.55,74.46,0.627,2.241,0.373,32.23,995.04,1
76.51,47.51,0.201,1.789,0.032,28.37,1008.15,0
106.47,78.16,1.509,2.707,0.463,34.21,1004.54,0
56.67,30.43,1.499,0.602,0.724,32.29,1011.72,1
14.35,29.91,2.121,2.279,0.301,32.76,1005.35,0
85.59,24.53,2.234,2.054,0.463,27.64,1002.57,1
91.29,43.48,2.183,0.798,0.219,31.66,1005.79,0
67.35,86.23,1.229,2.002,0.773,30.14,1003.03,1
92.52,84.51,1.895,2.773,0.061,18.23,991.11,1
59.26,44.45,1.731,2.755,0.705,27.97,1010.42,1
62.73,63.02,1.265,2.159,0.379,17.96,1018.86,0
51.3,74.87,1.792,0.144,0.042,32.39,1002.66,0
3.05,31.71,2.842,2.617,0.853,16.32,1002.71,1
12.95,25.13,0.579,1.973,0.488,34.74,991.37,0
3.77,97.49,2.717,0.931,0.599,23.01,1016.71,0
76.37,65.58,0.16,0.562,0.732,18.41,1017.87,1
37.72,98.33,0.925,0.349,0.655,33.71,1014.39,0
61.03,40.4,0.864,0.151,0.731,15.91,993.19,0
108.91,73.27,1.879,2.262,0.762,24.4,1017.01,1
29.92,30.03,0.394,0.708,0.589,30.4,990.72,0
49.25,33.51,2.647,0.073,0.366,21.34,1003.34,0
90.67,56.07,2.486,1.192,0.243,25.58,1005.02,1
27.46,38.77,1.956,1.448,0.903,29.01,1015.02,0
9.24,25.09,1.375,0.508,0.97,34.04,1012.53,1
34.77,33.66,2.799,0.132,0.358,17.05,1013.91,1
19.35,13.22,2.492,0.567,0.112,18.14,1016.04,1
111.56,73.4,1.498,2.037,0.223,25.18,1004.28,1
96.97,54.29,2.106,0.247,0.671,23.37,1013.41,1
76.01,18.48,1.701,1.665,0.173,23.22,992.04,1
104.58,25.45,1.764,0.439,0.78,20.94,1003.34,1
96.44,19.23,0.993,0.587,0.923,26.21,990.9,1
22.39,65.13,1.386,1.179,0.964,32.67,1017.46,0
107.11,18.48,0.234,0.302,0.009,18.22,1018.75,0
64.72,77.89,1.072,0.52,0.958,19.31,992.52,1
96.89,11.85,2.087,1.047,0.74,28.42,1005.98,1
107.53,32.44,2.86,0.989,0.084,16.12,999.75,1
38.16,90.16,2.889,2.248,0.415,28.48,1000.28,1
13.21,74.67,1.667,0.224,0.7,21.29,1003.52,1
27.35,16.57,1.82,2.581,0.957,22.16,993.75,0
51.25,83.9,0.557,2.449,0.164,23.11,995.42,1
98.16,54.37,2.086,2.298,0.128,21.99,1007.32,1
103.29,86.21,0.212,0.928,0.472,31.82,990.56,1
0.83,64.07,0.854,2.469,0.968,33.92,1007.99,1
61.29,71.36,2.005,0.548,0.971,25.96,999.57,1
50.09,99.42,0.931,0.373,0.228,26.64,1014.97,1
26.65,30.91,0.15,0.135,0.319,16.41,1008.0,0
14.38,66.16,2.496,2.818,0.908,29.26,1011.24,0
40.51,51.43,0.931,0.924,0.735,26.68,993.43,0
113.15,13.55,0.189,2.753,0.972,16.01,997.98,1
38.78,11.3,0.224,0.818,0.893,18.97,1019.9,1
62.25,20.73,0.755,2.723,0.215,19.04,1003.01,0
84.36,68.42,0.534,2.712,0.76,18.42,1000.77,1
43.64,61.04,2.323,2.771,0.049,28.17,1016.22,0
116.61,59.81,0.965,1.488,0.818,33.57,990.99,1
115.49,12.87,2.414,2.598,0.602,30.26,1006.04,1
30.21,52.24,0.522,2.852,0.956,24.55,996.31,0
59.67,93.22,1.479,0.974,0.96,23.08,1001.04,1
36.11,45.78,2.064,1.257,0.051,22.73,995.99,0
34.18,66.24,1.956,2.158,0.161,27.02,991.13,1
4.43,80.18,1.803,0.901,0.484,22.18,1002.5,0
73.15,80.55,2.774,2.261,0.879,19.52,1013.68,1
60.32,56.74,0.686,0.222,0.814,27.06,1018.56,0
6.18,87.22,1.481,1.57,0.964,22.81,1008.72,1
33.44,45.22,2.652,0.367,0.618,15.28,1001.67,1
108.99,89.98,0.234,0.88,0.257,15.44,1013.1,0
28.75,31.62,0.168,0.776,0.025,20.48,1005.16,0
17.39,35.22,0.7,2.517,0.223,25.25,1001.03,0
58.73,14.78,1.899,0.581,0.675,22.08,995.37,0
118.28,81.6,0.78,2.425,0.926,15.48,1013.88,1
29.05,47.53,0.571,2.382,0.321,19.46,1005.01,1
80.66,30.62,1.376,1.497,0.876,16.93,1018.91,0
91.39,30.86,1.841,0.702,0.395,33.97,1014.06,0
28.52,91.13,0.746,0.681,0.308,21.26,1002.6,1
87.39,85.05,0.902,1.395,0.509,15.3,1012.23,1
44.13,59.82,1.841,0.026,0.442,28.21,1003.6,1
75.88,65.45,2.837,1.594,0.914,19.65,992.4,1
76.02,52.69,2.024,2.858,0.468,26.33,1005.5,1
64.29,45.25,2.349,0.464,0.277,18.01,1015.97,0
10.83,92.39,1.1,1.72,0.843,34.68,1015.66,0
100.24,21.31,0.817,2.885,0.999,34.41,1007.25,1
38.49,47.66,1.363,2.582,0.648,28.12,1001.4,1
22.38,41.01,2.421,2.551,0.25,29.14,990.3,1
4.89,54.83,1.369,2.466,0.239,23.52,999.34,0
70.91,51.19,2.54,0.927,0.058,34.24,1019.69,0
81.31,56.7,2.966,2.672,0.077,23.47,1011.79,0
1.99,22.59,0.216,2.824,0.915,19.79,1011.53,0
61.45,56.18,0.136,1.487,0.096,17.31,1012.83,0
27.18,31.82,0.449,1.064,0.484,19.16,1008.6,0
77.42,26.59,1.153,1.243,0.698,26.44,1007.58,1
20.92,15.84,0.393,1.003,0.85,19.9,1003.61,0
82.91,78.64,2.612,0.637,0.171,28.08,1003.32,1
46.41,48.47,0.069,1.855,0.438,22.64,1016.13,0
112.41,66.4,0.947,1.688,0.251,32.74,1001.8,0
16.5,75.48,0.554,1.388,0.256,26.17,1015.21,0
40.93,71.14,2.795,0.288,0.304,27.45,1015.13,0
13.62,52.35,2.008,2.391,0.587,26.13,1013.13,1
110.96,44.91,2.736,0.525,0.017,32.71,991.13,1
105.28,43.84,2.917,0.344,0.409,16.27,994.44,1
30.95,67.6,1.491,1.869,0.187,16.35,999.44,1
79.2,54.53,0.703,1.196,0.967,29.03,1015.43,0
98.07,86.42,0.581,0.179,0.583,30.36,1016.2,1
66.62,88.72,0.669,1.067,0.868,23.67,991.25,1
63.56,25.35,2.126,2.315,0.196,22.05,999.74,0
29.02,22.26,0.121,1.846,0.81,20.56,1015.51,0
11.17,66.74,0.154,1.088,0.415,19.69,997.49,0
107.67,37.11,1.824,0.575,0.178,33.24,1019.28,0
108.05,11.67,1.926,1.895,0.761,20.9,1004.68,1
75.97,89.98,1.996,2.663,0.762,27.96,1018.12,1
40.68,30.42,1.116,1.939,0.996,30.74,1002.86,0
41.91,93.64,2.418,2.439,0.781,15.44,999.71,1
87.11,74.57,1.601,1.565,0.145,15.68,1000.87,1
107.65,78.64,0.316,2.154,0.323,21.66,1016.53,1
106.45,28.13,2.391,2.689,0.452,28.92,999.92,0
93.59,31.08,2.859,2.32,0.127,20.22,1010.08,1
77.04,56.91,0.18,2.73,0.788,15.03,1004.1,1
10.1,25.49,1.174,1.293,0.527,20.76,1018.25,0
19.4,37.49,1.463,2.713,0.944,16.8,994.78,0
107.83,38.93,0.439,1.865,0.589,19.39,1002.86,0
72.77,24.37,2.603,2.61,0.523,21.66,993.74,0
1.1,28.47,0.852,0.118,0.071,17.56,1007.34,0
12.18,80.97,2.349,1.974,0.149,29.13,1002.09,0
79.62,25.05,2.013,2.544,0.85,20.12,991.83,1
0.61,12.56,1.794,0.523,0.991,28.22,1015.5,0
19.3,66.64,0.576,1.985,0.415,26.98,1001.27,0
65.85,97.84,0.662,2.475,0.81,32.96,1004.81,1
83.03,39.81,0.142,0.864,0.628,16.76,1002.23,0
78.24,20.68,0.722,1.216,0.959,19.29,1004.66,1
26.91,61.33,1.036,1.709,0.238,32.3,990.49,0
85.46,91.57,2.499,1.558,0.545,31.44,1014.46,1
28.47,80.57,1.099,0.118,0.409,18.84,999.97,0
39.05,66.03,2.264,0.296,0.542,17.15,1011.73,1
89.58,38.36,1.318,0.301,0.269,32.12,991.95,1
77.96,58.77,2.355,0.787,0.498,18.56,1005.71,0
101.91,18.21,2.929,0.738,0.625,32.42,1017.26,1
78.91,71.11,0.72,2.227,0.081,34.22,1001.95,1
68.2,75.26,2.587,1.718,0.743,19.42,995.92,1
11.24,96.85,1.865,2.292,0.707,31.81,992.97,1
44.13,33.44,2.452,0.21,0.88,23.48,1015.77,0
31.82,11.66,1.955,1.456,0.426,30.78,997.16,0
29.28,59.1,1.272,0.971,0.062,23.15,1019.25,0
116.76,73.61,0.684,2.55,0.461,16.41,997.43,1
47.17,81.14,0.21,2.123,0.138,29.25,1004.43,0
107.05,27.44,1.607,2.608,0.647,18.01,1003.74,0
75.74,33.56,2.971,0.139,0.047,33.54,991.86,0
95.38,56.13,2.214,2.162,0.374,23.35,1005.96,1
60.32,39.75,0.982,1.62,0.083,16.64,1010.18,0
69.23,87.45,2.482,2.475,0.003,19.57,1012.26,1
59.1,52.64,2.307,1.521,0.961,32.25,1005.68,0
23.43,81.96,0.845,1.621,0.996,21.42,1014.38,1
86.69,62.26,0.043,0.155,0.556,32.13,1012.56,0
33.69,79.58,0.354,2.006,0.239,18.45,995.82,0
2.92,39.94,2.632,0.819,0.911,24.36,1002.05,0
77.46,84.83,2.51,0.059,0.923,32.57,994.28,1
21.25,34.71,0.886,0.199,0.855,15.97,994.0,0
112.86,59.15,0.856,2.872,0.544,21.09,1011.36,0
114.47,29.26,2.379,1.038,0.075,33.2,1005.91,0
109.78,52.8,2.813,2.604,0.088,26.93,1008.03,1
44.42,38.64,2.337,2.879,0.897,29.32,1011.97,1
1.85,34.0,1.817,2.83,0.876,31.84,998.32,0
111.4,97.03,0.728,2.645,0.434,25.47,1002.04,1
51.38,24.41,1.577,2.685,0.328,31.91,1008.2,1
116.0,80.86,0.701,0.867,0.644,27.78,992.9,1
115.63,98.57,2.424,0.454,0.807,28.71,1014.99,1
102.36,11.79,1.161,1.918,0.732,18.06,1000.3,1
35.33,72.91,2.501,1.464,0.616,33.78,1009.76,0
46.21,32.76,1.145,0.296,0.232,30.92,1019.87,0
102.14,13.64,2.472,2.033,0.263,20.08,1004.26,0
38.03,46.26,1.0,1.689,0.724,26.6,996.45,0
20.34,94.17,1.32,2.589,0.803,22.53,996.49,1
66.82,11.06,1.846,1.828,0.116,28.21,991.81,1
112.34,62.91,0.211,1.722,0.187,34.87,1013.01,1
83.52,55.13,2.845,1.322,0.68,15.91,998.8,1
68.41,88.6,1.721,1.388,0.389,34.05,995.18,0
11.66,17.56,1.523,2.863,0.563,16.45,1011.41,0
73.8,71.34,2.518,0.415,0.615,24.22,999.27,1
118.81,71.21,2.597,1.339,0.776,24.64,1008.01,1
16.81,70.22,1.567,1.967,0.806,20.37,1002.53,1
62.2,94.81,2.782,1.299,0.28,26.33,1000.02,1
105.28,84.08,0.194,0.85,0.541,31.68,1004.68,1
88.89,13.78,0.34,0.862,0.124,20.88,999.41,0
83.64,52.4,1.79,0.701,0.842,16.41,1016.12,1
84.3,45.82,1.062,1.032,0.845,27.65,992.19,1
43.14,37.91,1.393,2.615,0.3,30.03,990.9,0
35.23,50.62,0.984,1.516,0.161,34.09,1002.19,1
97.12,44.58,1.214,0.721,0.07,18.19,995.19,0
97.21,48.91,2.468,1.154,0.575,33.03,1012.31,1
104.05,98.13,1.78,0.317,0.091,24.64,1000.6,1
109.59,17.98,2.992,2.712,0.681,19.72,997.84,1
61.36,93.0,2.361,1.225,0.678,34.25,1000.78,0
60.18,53.22,0.821,2.941,0.614,19.77,996.58,1
95.8,66.14,0.793,1.043,0.877,29.67,998.99,1
78.0,84.72,1.008,2.509,0.378,30.7,1007.04,1
84.24,42.44,2.53,0.769,0.902,23.61,1015.92,1
95.5,48.74,0.082,0.228,0.037,28.8,1001.13,1
106.8,46.86,0.691,0.095,0.113,26.45,999.62,0
40.56,43.73,2.715,1.819,0.412,18.84,1013.45,1
45.07,93.3,1.92,0.935,0.594,30.2,990.67,1
11.28,84.6,0.681,1.331,0.032,33.56,999.06,0
69.39,19.81,0.657,2.456,0.567,24.77,1003.57,0
4.31,19.73,2.588,0.744,0.307,34.89,1008.02,0
55.87,48.51,2.681,0.926,0.887,23.56,994.68,1
65.12,18.88,0.768,2.536,0.533,24.59,1002.99,1
34.38,65.72,1.262,1.478,0.588,28.48,1006.99,1
70.9,22.93,2.504,2.483,0.946,18.72,1005.31,1
3.66,57.01,2.313,1.123,0.764,33.04,1007.24,0
4.48,10.65,2.442,1.195,0.438,31.03,1009.87,0
98.71,38.49,1.555,0.501,0.477,32.45,1001.38,1
43.22,70.95,2.735,2.749,0.648,27.19,991.91,1
15.25,53.56,0.978,2.69,0.2,32.67,991.67,0
62.67,98.04,0.47,2.953,0.089,28.6,1015.76,1
92.4,88.67,2.126,1.207,0.311,25.23,1010.32,1
25.9,42.32,1.618,2.456,0.778,33.64,1012.93,1
74.75,14.09,2.564,1.245,0.257,23.79,1017.86,0
10.24,86.11,0.243,1.363,0.131,25.01,1012.52,0
6.2,92.01,2.531,2.49,0.219,18.39,1010.77,0
63.76,83.86,0.88,0.532,0.679,33.95,1009.67,1
64.88,21.52,1.965,0.661,0.614,19.42,997.76,1
76.49,99.81,0.12,0.944,0.688,19.03,1018.72,0
87.13,33.27,1.829,2.365,0.322,17.02,1006.26,0
117.1,75.18,2.152,1.118,0.901,24.07,996.66,1
61.96,91.72,1.106,1.075,0.452,20.47,996.29,1
38.75,31.21,0.646,2.996,0.514,29.82,1014.46,0
95.42,91.74,1.613,1.151,0.949,21.15,997.51,0
32.5,37.85,2.5,0.743,0.979,29.42,991.24,0
52.68,97.88,0.971,1.87,0.662,18.92,1002.85,1
9.41,35.31,0.757,2.406,0.945,19.6,1014.52,0
3.04,95.81,0.837,0.209,0.542,31.12,1002.43,0
115.52,14.82,2.847,1.857,0.307,22.42,1014.11,1
100.32,73.83,1.078,0.107,0.315,17.24,1014.82,1
83.52,57.89,0.011,1.579,0.559,34.23,1015.73,1
49.07,53.01,2.345,0.771,0.605,18.55,1007.67,0
20.8,30.11,2.098,0.92,0.44,18.0,1010.98,0
18.77,73.5,0.386,1.401,0.884,22.17,997.86,0
30.03,27.17,2.955,2.781,0.427,16.91,992.99,1
65.91,59.76,1.824,2.132,0.273,18.11,1005.98,0
85.75,32.79,1.502,2.811,0.008,31.93,990.32,0
79.22,96.01,1.147,1.98,0.971,18.43,1003.97,1
33.59,12.58,2.696,0.021,0.824,17.23,993.06,0
114.58,27.98,0.732,0.797,0.616,32.6,993.25,0
88.55,31.81,0.857,2.717,0.831,23.88,1016.12,1
66.52,47.27,0.367,1.93,0.81,18.14,1009.22,1
73.41,30.95,2.277,2.945,0.932,26.63,1009.36,1
50.35,54.22,1.787,0.468,0.386,15.83,1002.13,1
29.73,88.52,1.827,0.89,0.555,23.55,1002.4,1
42.72,74.09,0.655,1.087,0.099,26.81,999.09,0
90.94,62.2,1.954,0.98,0.965,34.14,1003.03,1
1.73,18.01,2.296,0.756,0.985,21.53,1007.61,0
13.93,72.46,1.074,1.33,0.789,30.3,995.6,1
5.52,24.98,2.404,1.927,0.454,17.65,997.85,1
4.89,80.77,1.046,0.934,0.497,23.67,1004.84,0
102.66,32.51,2.274,0.239,0.435,19.46,1001.54,1
84.44,47.53,0.101,2.126,0.293,24.85,1014.58,0
56.9,41.54,1.653,1.377,0.528,23.34,1014.65,1
11.74,87.29,2.909,1.669,0.053,34.6,1000.08,1
58.99,21.39,2.944,1.366,0.992,33.35,1003.52,1
56.82,60.91,0.845,2.671,0.424,26.64,1019.3,0
20.78,22.79,1.324,1.676,0.927,18.53,1014.82,0
52.06,73.43,0.189,2.77,0.724,26.14,996.47,0
47.82,91.46,2.62,1.532,0.29,30.84,998.41,0
73.9,49.11,1.706,0.878,0.222,15.76,992.5,1
76.21,53.93,1.155,1.066,0.996,23.68,1010.33,0
5.44,93.47,0.338,1.566,0.772,15.85,999.51,1
44.95,56.89,2.84,1.59,0.25,19.88,1006.1,0
75.1,53.88,1.591,2.062,0.067,16.84,1013.04,0
60.38,62.05,0.849,0.673,0.697,34.21,1015.08,1
102.78,72.03,1.051,1.977,0.303,18.38,999.76,1
79.04,19.62,0.812,2.336,0.221,18.0,997.12,0
19.55,83.9,1.805,2.03,0.735,34.44,1015.46,0
8.47,49.2,2.79,1.445,0.679,25.32,1001.44,1
77.09,16.51,2.57,2.975,0.481,30.16,1014.66,1
3.18,80.76,1.381,1.214,0.943,21.55,994.49,1
70.29,43.93,2.479,0.32,0.68,25.66,1017.36,0
112.83,19.03,1.269,2.465,0.893,15.14,1004.49,1
69.06,67.04,0.757,0.637,0.191,23.18,995.1,0
46.58,89.21,2.95,2.14,0.297,26.1,1006.05,0
77.19,89.9,0.912,0.537,0.105,25.29,1016.1,0
54.99,96.19,0.971,0.051,0.305,23.12,1001.68,1
65.47,88.09,2.969,0.479,0.972,30.76,995.34,1
112.98,10.19,0.402,1.131,0.963,25.03,1007.3,1
46.33,44.22,2.282,0.32,0.76,27.72,1015.03,0
115.34,83.67,2.807,0.593,0.521,18.69,993.64,1
108.64,42.96,1.535,2.294,0.781,32.23,991.24,1
23.49,64.14,0.008,2.31,0.553,22.26,991.69,0
8.32,64.57,1.125,2.452,0.004,24.64,996.91,1
12.09,42.85,0.335,2.523,0.502,22.04,990.22,0
2.19,91.4,1.249,1.261,0.599,32.84,1002.86,1
11.33,55.29,2.37,2.603,0.266,33.01,1010.93,1
81.96,51.83,1.316,1.578,0.203,19.49,1011.31,1
8.54,99.78,1.296,1.412,0.274,30.05,1009.1,1
38.28,54.42,1.67,2.156,0.624,17.06,998.89,1
101.39,26.06,1.745,0.641,0.146,15.6,1012.08,0
2.79,56.18,2.569,2.368,0.72,31.73,1007.29,0
97.74,83.26,0.925,1.288,0.423,17.62,1015.84,1
33.82,79.92,2.465,0.382,0.353,18.1,1004.34,1
14.18,80.97,1.698,0.358,0.807,27.13,995.4,1
83.61,73.72,0.902,0.495,0.506,31.34,1009.04,1
75.47,32.88,0.885,2.672,0.378,18.79,994.52,0
105.3,87.59,1.083,2.973,0.878,17.28,1018.89,1
88.21,90.41,1.868,1.071,0.368,16.55,1011.1,1
96.42,27.47,0.692,0.876,0.859,15.5,1012.69,1
33.84,21.74,2.761,0.656,0.504,17.33,1010.38,0
21.29,97.8,1.725,2.471,0.208,33.85,992.93,1
90.07,88.15,2.76,0.628,0.613,16.91,1003.96,1
96.82,90.39,0.139,2.772,0.285,26.95,1009.54,1
118.86,89.77,1.028,2.002,0.147,33.42,996.88,1
49.51,58.75,0.068,2.691,0.087,27.56,1010.39,0
44.64,68.18,0.817,1.662,0.242,15.65,1014.6,0
93.17,59.08,2.586,2.072,0.737,26.93,998.25,1
40.9,14.61,0.11,1.858,0.838,33.06,995.99,0
111.69,77.1,1.308,2.494,0.862,21.45,1016.49,1
103.01,55.48,0.353,2.508,0.27,21.27,990.16,1
51.48,68.29,1.251,1.769,0.661,19.98,997.67,0
90.1,55.24,2.517,1.898,0.23,25.11,1002.2,0
90.55,54.26,1.869,2.766,0.623,19.76,1010.17,0
12.37,25.46,2.21,2.79,0.887,29.48,1019.91,1
108.31,35.08,1.047,1.993,0.041,27.9,1001.12,0
60.63,24.3,2.833,0.023,0.985,23.02,1018.46,1
99.17,27.61,2.128,0.313,0.827,29.45,1001.0,1
38.41,97.57,1.265,2.574,0.762,16.97,1010.87,1
107.46,23.78,1.279,0.254,0.691,29.99,994.96,0
46.7,34.23,2.756,0.641,0.77,27.06,1003.81,0
1.3,63.15,1.729,0.692,0.995,27.6,1016.14,1
108.65,64.92,2.119,1.801,0.77,16.29,999.6,1
10.95,23.86,1.251,1.73,0.352,27.36,993.16,0
38.32,81.43,0.671,0.868,0.614,24.88,1005.68,0
114.01,80.67,2.171,0.623,0.337,24.72,1003.19,1
114.07,31.36,1.823,2.294,0.97,21.44,996.89,1
68.81,35.98,1.504,2.806,0.9,15.15,1017.17,1
75.82,94.42,1.872,0.158,0.568,23.45,1008.05,0
53.81,84.31,0.625,0.4,0.781,23.02,1000.42,1
35.19,72.8,2.382,1.926,0.91,23.46,1019.88,0
39.44,17.4,2.844,2.413,0.244,27.24,994.13,0
80.7,47.64,2.673,2.374,0.579,21.0,1015.44,0
90.28,60.34,0.964,2.159,0.482,20.39,996.92,1
94.99,26.87,1.218,2.662,0.772,24.96,997.19,0
94.75,50.34,2.425,0.652,0.379,26.85,1004.94,0
10.94,64.09,1.785,0.322,0.709,26.35,1009.86,0
59.33,39.46,1.644,1.846,0.403,32.63,1010.71,0
6.91,80.29,2.78,2.467,0.111,30.38,990.66,0
65.94,85.64,1.608,1.746,0.107,16.04,998.61,0
52.98,39.12,1.545,2.889,0.119,26.27,1009.82,1
106.52,85.48,0.126,2.387,0.033,23.36,1016.69,1
42.11,19.32,0.208,2.102,0.533,22.22,1010.1,0
14.05,85.4,0.022,0.181,0.672,34.16,997.98,0
17.16,23.75,2.74,0.323,0.127,24.14,1005.23,1
91.38,17.46,1.225,2.355,0.612,29.39,1009.43,1
74.19,67.76,1.406,0.595,0.598,34.34,994.06,0
12.13,52.47,2.536,0.087,0.147,18.02,1006.35,0
10.09,91.71,1.828,2.732,0.404,16.09,1004.15,0
84.12,42.69,1.829,2.672,0.755,21.27,1000.1,1
8.73,35.84,0.89,0.655,0.017,15.89,1008.71,0
98.62,55.07,2.502,2.341,0.147,17.34,1009.09,1
84.75,51.04,0.497,0.144,0.996,34.83,1019.14,1
9.76,41.0,0.159,0.855,0.734,34.2,1002.85,0
10.18,72.44,0.575,1.871,0.464,28.83,1005.94,0
118.4,78.36,0.803,2.29,0.63,30.06,994.73,1
44.91,86.77,0.847,0.031,0.846,17.81,1006.45,0
44.48,97.56,2.012,0.979,0.842,26.9,991.08,1
97.54,34.0,0.653,0.643,0.325,18.09,994.5,0
113.67,74.45,2.03,2.996,0.491,22.57,995.14,1
118.32,45.48,0.273,2.013,0.638,21.91,1008.98,1
90.41,70.94,0.442,1.217,0.072,27.28,1007.02,1
45.15,52.84,1.526,0.227,0.946,16.59,1013.94,1
10.02,99.44,2.766,1.796,0.433,17.07,1003.93,1
93.26,75.6,2.579,1.925,0.371,27.2,1004.25,1
67.01,95.72,2.906,2.449,0.907,27.72,994.85,1
50.91,85.15,1.951,0.866,0.118,21.8,1012.28,1
108.76,91.26,2.027,2.944,0.039,17.94,990.11,1
